name,tagNames
Counter-Strike,Action;FPS;Multiplayer
Team Fortress Classic,Action;FPS;Multiplayer
Day of Defeat,FPS;Multiplayer;World War II
Deathmatch Classic,Action;FPS;Multiplayer
Half-Life: Opposing Force,Action;FPS;Sci-fi
Ricochet,Action;FPS;Multiplayer
Half-Life,Action;FPS;Classic
Counter-Strike: Condition Zero,Action;FPS;Multiplayer
Half-Life: Blue Shift,Action;FPS;Sci-fi
Half-Life 2,Action;FPS;Sci-fi
Counter-Strike: Source,Action;FPS;Multiplayer
Half-Life: Source,Action;FPS;Sci-fi
Day of Defeat: Source,FPS;Multiplayer;World War II
Half-Life 2: Deathmatch,Action;FPS;Multiplayer
Half-Life 2: Lost Coast,Action;FPS;Singleplayer
Half-Life Deathmatch: Source,Action;FPS;Multiplayer
Half-Life 2: Episode One,Action;FPS;Sci-fi
Portal,Singleplayer;Puzzle;First-Person
Half-Life 2: Episode Two,Action;FPS;Sci-fi
Team Fortress 2,FPS;Multiplayer;Free to Play
Left 4 Dead,FPS;Zombies;Co-op
Left 4 Dead 2,FPS;Zombies;Co-op
Dota 2,Free to Play;MOBA;Strategy
Portal 2,Puzzle;First-Person;Co-op
Alien Swarm,Action;Free to Play;Co-op
Counter-Strike: Global Offensive,FPS;Multiplayer;Shooter
Rag Doll Kung Fu,Multiplayer;Indie;Fighting
Red Orchestra: Ostfront 41-45,Action;FPS;World War II
Killing Floor,FPS;Zombies;Co-op
SiN Episodes: Emergence,Action;FPS;Cyberpunk
Darwinia,Strategy;Indie;RTS
Uplink,Strategy;Indie;Hacking
DEFCON,Multiplayer;Strategy;Indie
Multiwinia,Strategy;Indie;RTS
Dangerous Waters,Strategy;Simulation;Naval
Space Empires IV Deluxe,Sci-fi;Strategy;4X
Disciples II: Rise of the Elves ,Strategy;Turn-Based Strategy;Fantasy
Disciples II: Gallean's Return,Classic;Strategy;Turn-Based Strategy
Iron Warriors: T - 72 Tank Command ,Strategy;Simulation;Tanks
Space Empires V,Strategy;4X;Space
Arx Fatalis,Classic;First-Person;RPG
Source Filmmaker,Free to Play;Animation & Modeling;Video Production
Earth 2160,Sci-fi;Strategy;RTS
Two Worlds Epic Edition,Fantasy;RPG;Open World
Dark Messiah of Might & Magic,Action;First-Person;RPG
Quake III Arena,Action;FPS;Classic
Quake IV,Action;FPS;Shooter
Wolfenstein 3D,Action;FPS;Classic
Ultimate Doom,Action;FPS;Classic
Final DOOM,Action;FPS;Classic
DOOM II,Action;FPS;Classic
QUAKE,Action;FPS;Classic
QUAKE II,Action;FPS;Classic
QUAKE II Mission Pack: The Reckoning,Action;FPS;Classic
QUAKE II Mission Pack: Ground Zero,Action;FPS;Shooter
QUAKE III: Team Arena,Action;FPS;Competitive
HeXen: Beyond Heretic,Action;FPS;Classic
HeXen: Deathkings of the Dark Citadel,Action;FPS;Classic
Heretic: Shadow of the Serpent Riders,Action;FPS;Classic
The Ship: Murder Party,Action;Multiplayer;Indie
Bloody Good Time,Action;FPS;Multiplayer
Shadowgrounds,Action;Sci-fi;Top-Down Shooter
Gumboy - Crazy Adventures™,Singleplayer;Indie;Casual
Alpha Prime,Action;FPS;Sci-fi
Vampire: The Masquerade - Bloodlines,RPG;Vampire;Cult Classic
GUN™,Action;Open World;Western
Call of Duty®,Action;FPS;World War II
Call of Duty® 2,Action;FPS;World War II
Call of Duty: United Offensive,Action;FPS;World War II
Act of War: Direct Action,Action;Strategy;RTS
ThreadSpace: Hyperbol,Action;Strategy;Indie
ARMA: Combat Operations,Action;Shooter;Simulation
X2: The Threat,Strategy;Simulation;Space
X3: Reunion,Strategy;Simulation;Space
X3: Terran Conflict,Sci-fi;Simulation;Space
X: Beyond the Frontier,Strategy;Simulation;Space
X: Tension,Strategy;Simulation;Space
X Rebirth,Sci-fi;Simulation;Space
688(I) Hunter/Killer,Strategy;Simulation;Naval
Fleet Command,Strategy;Simulation;Naval
Sub Command,Strategy;Simulation;Naval
FlatOut 2™,Multiplayer;Racing;Destruction
Xpand Rally,Multiplayer;Racing
Call of Juarez™,Action;FPS;Western
Xpand Rally Xtreme,Simulation;Racing;Offroad
Men of War: Red Tide,World War II;Strategy;RTS
King's Bounty: Armored Princess,Strategy;Turn-Based Strategy;RPG
Genesis Rising,Sci-fi;Strategy;Space
Safecracker: The Ultimate Puzzle Adventure,Puzzle;Casual;Adventure
Painkiller Overdose,Action;FPS;Shooter
Zuma Deluxe,Puzzle;Casual;Match 3
Heavy Weapon Deluxe,Action;Casual;Arcade
Peggle Deluxe,Puzzle;Casual;Arcade
Peggle Extreme,Puzzle;Free to Play;Casual
Venice Deluxe,Casual
Mystery P.I.™ - The Lottery Ticket,Casual;Hidden Object
Amazing Adventures The Lost Tomb™,Puzzle;Casual;Hidden Object
Mystery P.I.™ - The Vegas Heist,Casual;Hidden Object
Amazing Adventures Around the World,Puzzle;Casual;Hidden Object
Peggle™ Nights,Singleplayer;Puzzle;Casual
Bejeweled Twist,Strategy;Casual;Match 3
Mystery P.I.™ - The New York Fortune,Casual;Hidden Object
The Wizard's Pen™,Casual;Hidden Object
Plants vs. Zombies GOTY Edition,Zombies;Strategy;Tower Defense
Escape Rosecliff Island,Puzzle;Casual;Hidden Object
Mystery P.I. - Lost in Los Angeles,Casual;Hidden Object
Zuma's Revenge!,Action;Casual;Match 3
Sniper Elite,Action;Sniper;Stealth
Judge Dredd: Dredd vs. Death,Action;FPS;First-Person
Evil Genius,Strategy;Base-Building;Villain Protagonist
Aliens versus Predator Classic 2000,Action;FPS;Classic
Advent Rising,Action;Sci-fi;Story Rich
BloodRayne,Action;Vampire;Female Protagonist
BloodRayne 2,Action;Vampire;Female Protagonist
Psychonauts,Adventure;Platformer;Comedy
Sid Meier's Civilization® IV,Strategy;Turn-Based Strategy;Turn-Based
Sid Meier's Civilization® III Complete,Strategy;Turn-Based Strategy;Turn-Based
Sid Meier's Pirates!,RPG;Open World;Pirates
Shattered Union,Strategy;Turn-Based Strategy
CivCity: Rome,Strategy;Simulation;City Builder
Civilization IV®: Warlords,Strategy;4X;Turn-Based
Garry's Mod,Multiplayer;Sandbox;Funny
Poker Superstars II,Card Game
RACE - The WTCC Game,Simulation;Racing
RACE: Caterham Expansion,Simulation;Racing
RoboBlitz,Action;Puzzle;Indie
Silverfall,RPG;Hack and Slash;Action RPG
City Life 2008,Strategy;Simulation;City Builder
Silverfall: Earth Awakening,RPG;Hack and Slash;Action RPG
S.T.A.L.K.E.R.: Shadow of Chernobyl,Open World;Atmospheric;Post-apocalyptic
Full Spectrum Warrior,Action;Strategy;Tactical
Full Spectrum Warrior: Ten Hammers,Action;Strategy;Tactical
Company of Heroes - Legacy Edition,World War II;Strategy;RTS
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Strategy;RTS;Warhammer 40K
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Strategy;RTS;Warhammer 40K
Total War: MEDIEVAL II – Definitive Edition,Strategy;Medieval;Historical
Condemned: Criminal Origins,Action;Atmospheric;Horror
Rome: Total War™ - Collection,Strategy;Historical;Rome
Rome: Total War™ - Alexander,Strategy;RTS;Historical
Medieval II: Total War™ Kingdoms,Strategy;Medieval;Historical
Heroes of Annihilated Empires,Strategy;RTS;RPG
Cossacks: Back to War,Classic;Strategy;RTS
Cossacks: Art of War,Strategy;RTS;Historical
Cossacks: European Wars,Strategy;RTS;Historical
Cossacks II: Battle for Europe,Strategy;RTS;Historical
Zen of Sudoku,Puzzle;Indie;Casual
Natural Selection 2,FPS;Multiplayer;Strategy
STAR WARS™ Republic Commando™,Action;FPS;Star Wars
Indiana Jones® and the Fate of Atlantis™,Classic;Adventure;Point & Click
STAR WARS™ Jedi Knight - Jedi Academy™,Action;Sci-fi;Star Wars
STAR WARS™ Jedi Knight II - Jedi Outcast™,Action;Classic;Star Wars
The Dig®,Sci-fi;Adventure;Point & Click
"Star Wars: Battlefront 2 (Classic, 2005)",Action;Multiplayer;Star Wars
Thrillville®: Off the Rails™,Action;Strategy;Simulation
Armed and Dangerous®,Action;Comedy;Third-Person Shooter
Shank,Action;Indie;Beat 'em up
Ghost Master®,Puzzle;Strategy;Comedy
Vegas: Make It Big™,Strategy;Simulation;Management
FlatOut,Racing;Destruction;Driving
Making History: The Calm & the Storm,Action;Strategy;Grand Strategy
Ducati World Championship,Simulation;Racing
Dreamfall: The Longest Journey,Adventure;Story Rich;Female Protagonist
The Longest Journey,Adventure;Female Protagonist;Point & Click
Bloodline Champions,Action;Free to Play;MOBA
Joint Task Force,Action;Strategy;RTS
Nexus - The Jupiter Incident,Sci-fi;Strategy;Space
Lost Planet™: Extreme Condition,Action;Adventure;Third-Person Shooter
Devil May Cry® 3 Special Edition,Action;Hack and Slash;Great Soundtrack
Commandos: Behind Enemy Lines,Action;Strategy;Stealth
Commandos: Beyond the Call of Duty,Action;Strategy;Tactical
Commandos 2: Men of Courage,Strategy;Stealth;Tactical
Commandos 3: Destination Berlin,Action;Strategy;Tactical
Hitman 2: Silent Assassin,Action;Stealth;Third Person
Hitman: Blood Money,Action;Stealth;Third Person
Battlestations: Midway,Action;World War II;Naval
Just Cause,Action;Shooter;Open World
Hitman: Codename 47,Action;Classic;Stealth
Deus Ex: Game of the Year Edition,Cyberpunk;RPG;Stealth
Deus Ex: Invisible War,Action;FPS;Cyberpunk
Thief: Deadly Shadows,Action;Stealth;Atmospheric
Tomb Raider: Legend,Action;Adventure;Female Protagonist
Project: Snowblind,Action;FPS;Cyberpunk
Rogue Trooper,Action;Sci-fi;Third-Person Shooter
Jade Empire™: Special Edition,Fantasy;RPG;Story Rich
Trackmania United Forever Star Edition,Multiplayer;Racing;Level Editor
"Runaway, A Road Adventure",Adventure;Point & Click;Mystery
"Runaway, The Dream of The Turtle",Adventure;Point & Click;Mystery
Loki,Action;RPG;Hack and Slash
Azada,Puzzle;Indie;Casual
X-Blades,Action;Female Protagonist;Hack and Slash
Two Worlds II HD,Fantasy;RPG;Open World
Two Worlds II Castle Defense,Strategy;Fantasy;Tower Defense
Sid Meier's Railroads!,Strategy;Management;Trains
Railroad Tycoon 3,Strategy;Management;Trains
Railroad Tycoon II Platinum,Strategy;Management;Trains
X-COM: Terror From the Deep,Sci-fi;Strategy;Turn-Based
X-COM: Apocalypse,Strategy;Turn-Based;Tactical
X-COM: Interceptor,Sci-fi;Strategy;Space
X-COM: UFO Defense,Classic;Strategy;Turn-Based Strategy
X-COM: Enforcer,Action;Strategy;Shooter
Men of War™,World War II;Strategy;RTS
Death Track®: Resurrection,Action;Shooter;Racing
NecroVision,Action;FPS;World War I
Call of Duty® 4: Modern Warfare®,Action;FPS;Multiplayer
Tomb Raider: Anniversary,Action;Adventure;Female Protagonist
Kane and Lynch: Dead Men™,Action;Third-Person Shooter;Crime
Conflict: Denied Ops,Action;FPS;Singleplayer
Tomb Raider: Underworld,Action;Adventure;Female Protagonist
Battlestations Pacific,Action;World War II;Strategy
Just Cause 2,Action;Open World;Sandbox
Bone: Out From Boneville,Adventure;Point & Click
Bone: The Great Cow Race,Adventure;Point & Click
Telltale Texas Hold ‘Em,Casual;Card Game
Strong Bad's Cool Game for Attractive People: Season 1,Adventure;Comedy;Point & Click
Geometry Wars: Retro Evolved,Casual;Arcade;Twin Stick Shooter
EVE Online,Sci-fi;Space;Massively Multiplayer
RACE 07,Simulation;Racing;Driving
GTR 2 FIA GT Racing Game,Simulation;Racing;Sports
Civilization IV: Beyond the Sword,Strategy;4X;Turn-Based Strategy
BioShock Infinite,Action;FPS;Story Rich
Freedom Force,Strategy;RPG;Superhero
Freedom Force vs. the Third Reich,Strategy;RPG;Superhero
Sid Meier's Civilization® V,Strategy;Turn-Based Strategy;Turn-Based
Axel & Pixel,Indie;Point & Click
Spear of Destiny,Action;FPS;Classic
Return to Castle Wolfenstein,Action;FPS;Classic
QUAKE Mission Pack 2: Dissolution of Eternity,Action;FPS;Shooter
QUAKE Mission Pack 1: Scourge of Armagon,Action;FPS;Shooter
DOOM 3,Action;FPS;Horror
HeXen II,Action;FPS;Classic
Master Levels for Doom II,Action;FPS;Classic
Commander Keen,Action;Classic;Platformer
RAGE,Action;FPS;Post-apocalyptic
"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy;RTS;Warhammer 40K
Company of Heroes: Opposing Fronts,Action;Strategy;RTS
Supreme Commander,Sci-fi;Strategy;RTS
Supreme Commander: Forged Alliance,Sci-fi;Strategy;RTS
"Warhammer® 40,000: Dawn of War® - Soulstorm",Strategy;RTS;Warhammer 40K
Frontlines™: Fuel of War™,Action;FPS;Shooter
Saints Row 2,Action;Open World;Character Customization
Gish,Indie;Platformer;Physics
Desperados 2: Cooper's Revenge,Action;Strategy;Western
Act of War: High Treason,Action;Strategy;RTS
Death to Spies,Action;Adventure;Stealth
Codename: Panzers - Cold War,Strategy;RTS;Simulation
Champions Online,Free to Play;Massively Multiplayer;Superhero
Star Trek Online,Sci-fi;Free to Play;Space
Blade Kitten,Female Protagonist;Platformer;Anime
Haunted House™,Adventure
Star Raiders,Action;Space
The UnderGarden,Puzzle;Casual;Relaxing
Call of Duty: World at War,FPS;World War II;Zombies
King's Quest™ Collection,Classic;Adventure;Point & Click
Space Quest™ Collection,Classic;Adventure;Point & Click
Aces of the Galaxy™,Action;Space;Casual
TimeShift™,Action;FPS;Time Manipulation
3D Ultra™ Minigolf Adventures,Sports;Mini Golf;Golf
Prototype™,Action;Open World;Adventure
Call of Duty®: Modern Warfare® 2,Action;FPS;Multiplayer
Postal III,Action;Dark Humor;Gore
Dead Mountaineer's Hotel,Adventure;Point & Click
A Stroke of Fate: Operation Valkyrie,Adventure;Point & Click
PT Boats: Knights of the Sea,Simulation;Naval
PT Boats: South Gambit,Simulation;Naval
Disciples III: Reincarnation,Strategy;Turn-Based Strategy;RPG
The Club™,Action;Arcade;Third-Person Shooter
Total War: EMPIRE – Definitive Edition,Strategy;Historical;Military
Aliens vs. Predator™,Action;FPS;Aliens
TrackMania Nations Forever,Multiplayer;Free to Play;Racing
Sherlock Holmes - Nemesis,Adventure;Point & Click;Detective
Dracula Origin,Vampire;Adventure;Point & Click
Sherlock Holmes: The Mystery of the Mummy,Adventure;Point & Click;Detective
Sherlock Holmes: The Awakened - Remastered Edition,Adventure;Point & Click;Lovecraftian
Sherlock Holmes: The Silver Earring,Adventure;Point & Click;Detective
Sherlock Holmes versus Jack the Ripper,Adventure;Point & Click;Detective
Shadowgrounds Survivor,Action;Sci-fi;Isometric
Gumboy Tournament,Indie;Casual;Racing
Space Trader: Merchant Marine,Action;FPS;Space
Pacific Storm,World War II;Strategy;Simulation
Pacific Storm Allies,World War II;Strategy;Simulation
Penguins Arena: Sedna's World,Action;Indie;Casual
Obulis,Puzzle;Indie;Casual
Larva Mortus,Action;Indie;Top-Down
Chains,Puzzle;Indie;Physics
Overlord™,RPG;Villain Protagonist;Third Person
Soldiers: Heroes of World War II,World War II;Strategy;RTS
Maelstrom: The Battle for Earth Begins,Strategy;RTS
Hospital Tycoon,Singleplayer;Simulation;Management
Grand Theft Auto III,Action;Classic;Open World
Grand Theft Auto: Vice City,Action;Open World;1980s
Grand Theft Auto: San Andreas,Action;Multiplayer;Open World
Manhunt,Stealth;Gore;Violent
Max Payne,Action;Classic;Noir
Max Payne 2: The Fall of Max Payne,Action;Third-Person Shooter;Noir
Grand Theft Auto,Action;Classic;Open World
Grand Theft Auto 2,Action;Classic;Open World
Bully: Scholarship Edition,Action;Open World;Adventure
Grand Theft Auto IV,Action;Open World;Bowling
Grand Theft Auto: Episodes from Liberty City,Action;Multiplayer;Open World
Culpa Innata,Sci-fi;RPG;Adventure
Sacred Gold,Action;RPG;Hack and Slash
Darkstar One,Action;Sci-fi;Space
Jack Keane,Adventure;Comedy;Point & Click
FlatOut: Ultimate Carnage,Multiplayer;Racing;Destruction
Exodus from the Earth ,Action;FPS;Shooter
Perimeter 2: New Earth,Strategy;RTS
SlamIt Pinball Big Score,Casual;Pinball
Ankh 2: Heart of Osiris ,Adventure;Comedy;Point & Click
Ankh 3: Battle of the Gods,Adventure;Point & Click
BC Kings,Strategy;RTS
Port Royale 2,Strategy;Pirates;Trading
9th Company: Roots Of Terror,Strategy;RTS;Military
PuzzleQuest: Challenge of the Warlords,Puzzle;Casual;Match 3
Prison Tycoon 3™: Lockdown,Strategy;Simulation
18 Wheels of Steel: American Long Haul,Simulation;Racing;Driving
Hunting Unlimited™ 2008,Action;Strategy;Adventure
Mahjongg Investigations: Under Suspicion,Puzzle;Casual
Ride! Carnival Tycoon,Simulation;Management
Sprint Cars Road to Knoxville,Racing
Midnight Outlaw: 6 Hours to SunUp,Racing
Drakensang,Fantasy;RPG;Party-Based RPG
Mission Runway,Simulation;Casual
Overlord™: Raising Hell,Action;RPG;Villain Protagonist
Rise of the Argonauts,Action;RPG;Adventure
Damnation,Action;Adventure;Steampunk
Overlord II,Fantasy;RPG;Villain Protagonist
Operation Flashpoint: Dragon Rising,Action;FPS;Tactical
Ninja Reflex: Steamworks Edition,Indie;Casual;Ninja
America's Army 3,Action;FPS;Free to Play
Unreal 2: The Awakening,Action;FPS;Sci-fi
Unreal Tournament 3 Black,Action;FPS;Multiplayer
Unreal Tournament 2004: Editor's Choice Edition,Action;FPS;Arena Shooter
Unreal Tournament: Game of the Year Edition,Action;FPS;Classic
Unreal Gold,Action;FPS;Classic
Prince of Persia: Warrior Within™,Action;Adventure;Parkour
Far Cry®,Action;FPS;Classic
Prince of Persia: The Two Thrones™,Action;Adventure;Platformer
Tom Clancy's Rainbow Six® Vegas,Action;FPS;Tactical
Tom Clancy's Splinter Cell®,Action;Stealth;Third Person
Tom Clancy's Splinter Cell Chaos Theory®,Action;Stealth;Third Person
Tom Clancy's Splinter Cell Double Agent®,Action;Stealth;Third Person
Prince of Persia®: The Sands of Time,Action;Adventure;Parkour
Tom Clancy's Ghost Recon® Desert Siege™,Action;FPS;Tactical
Tom Clancy's Rainbow Six Lockdown™,Action;FPS;Tactical
Rayman Raving Rabbids™,Action;Adventure;Psychological Horror
Assassin's Creed™: Director's Cut Edition,Action;Open World;Adventure
Tom Clancy's Rainbow Six® Vegas 2,Action;FPS;Tactical
Beyond Good and Evil™,Action;Adventure;Female Protagonist
Petz® Horsez® 2,Simulation;Horses;Family Friendly
Heroes of Might & Magic V,Strategy;Turn-Based Strategy;Fantasy
Brothers in Arms: Road to Hill 30™,Action;FPS;World War II
Silent Hunter®: Wolves of the Pacific,World War II;Simulation;Submarine
Silent Hunter® III,World War II;Simulation;Naval
Silent Hunter®: Wolves of the Pacific U-Boat Missions,World War II;Simulation;Submarine
Cold Fear™,Action;Horror;Survival Horror
Tom Clancy's Ghost Recon®,Action;FPS;Tactical
IL-2 Sturmovik: 1946,World War II;Simulation;Flight
Heroes of Might & Magic V: Tribes of the East,Strategy;Turn-Based Strategy;Turn-Based
Heroes of Might & Magic V: Hammers of Fate,Strategy;Turn-Based Strategy;Turn-Based
Brothers in Arms: Hell's Highway™,Action;FPS;World War II
Harvest: Massive Encounter,Strategy;Indie;Tower Defense
The Wonderful End of the World,Action;Indie;Casual
AaAaAA!!! - A Reckless Disregard for Gravity,Action;First-Person;Indie
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Action;First-Person;Indie
"Warhammer 40,000: Dawn of War II",Strategy;RTS;Warhammer 40K
Oddworld: Abe's Oddysee®,Classic;Adventure;Platformer
Oddworld: Abe's Exoddus®,Adventure;Platformer;2D
Oddworld: Munch's Oddysee,Action;Strategy;Adventure
Oddworld: Stranger's Wrath HD,Action;Singleplayer;Adventure
Planet Busters,Indie;Casual
7 Wonders II,Puzzle;Casual;Match 3
Luxor Amun Rising,Casual
Luxor 2,Casual
Luxor 3,Puzzle;Casual;Match 3
Little Farm,Puzzle;Casual;Agriculture
Luxor,Casual;Match 3
Discovery! A Seek and Find Adventure,Casual;Hidden Object
Samantha Swift and the Hidden Roses of Athena,Casual;Adventure;Hidden Object
7 Wonders: Treasures of Seven,Puzzle;Casual;Match 3
Luxor: Quest for the Afterlife ,Puzzle;Casual;Match 3
Samantha Swift and the Golden Touch,Casual;Adventure;Hidden Object
Virtual Villagers: A New Home,Simulation;Casual
Virtual Villagers: The Lost Children,Simulation;Casual
Plant Tycoon,Simulation;Casual;Management
Fish Tycoon,Simulation;Casual;Management
Virtual Villagers - The Secret City,Simulation;Casual
Virtual Families,Simulation;Casual
F.E.A.R. 2: Project Origin,Action;FPS;Horror
Chaos Theory,Puzzle;Indie;Casual
Trials 2: Second Edition,Indie;Racing;Sports
Monster Trucks Nitro ,Indie;Racing;Sports
Insecticide Part 1,Action;Adventure;Female Protagonist
Velvet Assassin,Action;Stealth;Female Protagonist
Legendary,Action;FPS;Shooter
Sid Meier's Civilization IV: Colonization,Strategy;Turn-Based Strategy;Turn-Based
GROUND BRANCH,Indie;Tactical;Early Access
Tribes: Ascend,Action;FPS;Free to Play
Children of the Nile: Enhanced Edition,City Builder;Historical;Management
Children of the Nile: Alexandria,Simulation;City Builder;Management
Hinterland,Strategy;Fantasy;RPG
Mosby's Confederacy,Strategy;Historical
Crysis,Action;FPS;Sci-fi
Crysis Warhead®,Action;FPS;Sci-fi
SPORE™,Simulation;Open World;Sandbox
Mirror's Edge™,Action;First-Person;Parkour
Need for Speed Undercover,Multiplayer;Open World;Racing
SPORE™ Creepy & Cute Parts Pack,Simulation;Open World;Adventure
Dragon Age: Origins,Fantasy;RPG;Story Rich
Mass Effect,Sci-fi;RPG;Story Rich
Dead Space,Action;Sci-fi;Horror
